,control_net_electricity_consumption,baseline_net_electricity_consumption,control_cost,baseline_cost,control_emission,baseline_emission
0,3.4413833997408574,3.4413834,0.7571043214189217,0.75710434,0.5875281411022346,0.5875281691551208
1,3.4446444907188436,3.4446442,0.7578217903423319,0.7578218,0.5419082276093317,0.5419082641601562
2,3.898216763973238,3.8982167,0.8576076621460924,0.85760766,0.6022844393308322,0.6022844910621643
3,2.470288971900942,2.4702892,0.543463564877511,0.5434636,0.37287745259238925,0.37287744879722595
4,4.081633398771288,4.081633,0.8979593286561975,0.8979593,0.6196730361955325,0.6196730732917786
5,1.9669723012447378,1.9669724,0.43273390031337833,0.4327339,0.31095514896862575,0.3109551668167114
6,2.5894667580723763,2.5894668,0.5696826879866421,0.5696827,0.4246832877397537,0.4246833026409149
7,1.8949500024318695,1.8949499,0.4168890006840229,0.41688898,0.32759901881217957,0.32759904861450195
8,1.8386946618556976,1.8386946,0.40451282635331154,0.40451282,0.4919794350862503,0.4919794201850891
9,3.701576828956604,2.5987334,0.8143468759953976,0.5717213,0.9222836196422577,0.7878326177597046
10,4.3591538071632385,1.1942835,0.9590138085186481,0.26274234,1.1372189205139875,0.7378309965133667
11,5.53328537940979,1.3559995,1.2173227816820145,0.29831988,1.4795033186674118,0.748092770576477
12,6.0264779925346375,1.1170167,1.3258251547813416,0.24574366,1.5187515020370483,0.6532578468322754
13,5.961807668209076,0.93686104,1.311597652733326,0.2061094,1.5071784183382988,0.7831043004989624
14,5.300588250160217,0.6752836,1.1661294102668762,0.14856237,1.2840105295181274,0.25225991010665894
15,3.9510109424591064,0.44784975,0.8692224193364382,0.098526835,1.3424279987812042,0.9311318397521973
16,8.72605985403061,7.64985,4.712072517722845,4.130919,2.2988025844097137,2.0909454822540283
17,0.9562991857528687,5.934189,0.5164015218615532,3.204462,1.0787322223186493,1.7448960542678833
18,4.029993891716003,8.764299,2.176196828484535,4.7327223,1.4524602442979813,2.302544593811035
19,7.850967399775982,11.366077,4.239522535353899,6.137682,1.8960829246789217,2.7450153827667236
20,8.605830371379852,11.255667,4.6471486166119576,6.07806,2.096286367624998,2.741757392883301
21,5.7603051364421844,7.907928,1.267267107963562,1.7397442,1.4997513890266418,1.9037482738494873
22,5.23967781662941,6.82725,1.152729094028473,1.5019951,1.286986917257309,1.5652861595153809
